p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.00E-109,0.360630183,0.414,0.185,5.98E-105,1,SVOP
9.93E-109,0.769600722,0.664,0.419,2.97E-104,1,NEGR1
5.74E-108,0.547099045,0.388,0.175,1.72E-103,1,MTUS2
1.23E-107,0.400593344,0.546,0.288,3.68E-103,1,SBK1
1.31E-107,0.431787594,0.98,0.92,3.92E-103,1,CAMTA1
1.33E-107,0.535742478,0.725,0.48,3.97E-103,1,SOBP
7.10E-107,0.692540908,0.876,0.673,2.12E-102,1,DSCAM
1.44E-104,0.646455874,0.228,0.075,4.32E-100,1,AC008415.1
4.31E-103,0.489690092,0.804,0.536,1.29E-98,1,CACNA1B
4.91E-103,0.483771798,0.875,0.685,1.47E-98,1,ERC2
1.16E-102,0.464987878,0.501,0.259,3.48E-98,1,ELAVL2
3.22E-101,0.468092177,0.602,0.363,9.62E-97,1,MAP6
6.64E-101,0.638780383,0.307,0.124,1.99E-96,1,KLHL1
4.00E-100,0.760633789,0.524,0.285,1.20E-95,1,CNTNAP5
1.14E-99,0.507189289,0.686,0.433,3.41E-95,1,GAP43
5.09E-98,0.384097141,0.644,0.368,1.52E-93,1,SRRM3
5.84E-96,0.601538382,0.612,0.368,1.75E-91,1,TOX
7.17E-96,0.402548266,0.57,0.318,2.14E-91,1,BICDL1
1.06E-93,0.480742906,0.661,0.435,3.18E-89,1,MAP3K13
1.16E-93,0.35873688,0.257,0.096,3.48E-89,1,LHX1-DT
3.89E-93,0.496930445,0.626,0.369,1.16E-88,1,KCNB2
2.71E-92,0.298067713,0.344,0.15,8.12E-88,1,GDAP1L1
7.35E-92,0.273665277,0.118,0.027,2.20E-87,1,UNC13C
1.03E-91,0.32194605,0.189,0.059,3.09E-87,1,FAM19A4
4.40E-91,0.424640885,0.547,0.307,1.32E-86,1,ELAVL4
5.70E-89,0.383650694,0.682,0.41,1.70E-84,1,UNC13A
